Name,Sector,Code,Market,Number,Mktcap,Share_count,EPS,PERatio,ROE
LBI CAPITAL BERHAD,PROPERTY ,LBICAP (8494),MAIN,8494,70.99m,98.59m,8.32 *,8.65,4.81
LBS BINA GROUP BERHAD,PROPERTY ,LBS (5789),MAIN,5789,884.79m,1.566b,5.09 *,11.1,5.85
LIEN HOE CORPORATION BERHAD,PROPERTY ,LIENHOE (3573),MAIN,3573,90.44m,361.74m,-10.07 *,-,-7.14
MAGNA PRIMA BERHAD,PROPERTY ,MAGNA (7617),MAIN,7617,318.17m,334.91m,-17.93 *,-,-11.49
MAH SING GROUP BERHAD,PROPERTY ,MAHSING (8583),MAIN,8583,2.209b,2.428b,10.81 *,8.42,7.46
MALTON BERHAD,PROPERTY ,MALTON (6181),MAIN,6181,290.48m,528.14m,2.59 *,21.24,1.49
MATRIX CONCEPTS HOLDINGS BERHAD,PROPERTY ,MATRIX (5236),MAIN,5236,1.534b,786.81m,27.65 *,7.05,15.71
MB WORLD GROUP BERHAD,PROPERTY ,MBWORLD (7189),MAIN,7189,251.80m,157.38m,36.66 *,4.36,23.2
MCT BERHAD,PROPERTY ,MCT (5182),MAIN,5182,400.67m,1.457b,-,-,-
MENANG CORPORATION (M) BERHAD,PROPERTY ,MENANG (1694),MAIN,1694,161.07m,480.80m,1.76 *,19.03,2.67
MERIDIAN BERHAD,PROPERTY ,MERIDIAN (5040),MAIN,5040,113.29m,492.56m,-4.75 *,-,-20.65
MAJUPERAK HOLDINGS BERHAD,PROPERTY ,MJPERAK (8141),MAIN,8141,57.84m,257.05m,0.43 *,52.33,0.62
MKH BERHAD,PROPERTY ,MKH (6114),MAIN,6114,721.45m,586.55m,12.99 *,9.47,4.78
MK LAND HOLDINGS BERHAD,PROPERTY ,MKLAND (8893),MAIN,8893,223.34m,1.207b,1.36 *,13.6,1.36
